Produto,Descrição,"Pontos Qualificaveis","Pontos Bonificaveis","Preço Venda Sugerido","Preço Consultor","Margem Lucro na Revenda",QTD EM CASA - FECHADOS,"Valor Em Estoque","Valor Investido",QTD EM CASA - ABERTOS
TOTALL,,,,,,,133,"R$ 9.181,36","R$ 4.540,22",6
#,#,#,#,#,#,#,#,#,#,#
100,HINO´S HOLY OLEO PARA CABELOS 140ML,10.00,10.00,"R$ 32,30","R$ 16,15",100.00 %,,0,0,
105,HINO'S PLUS SHAMPOO CABELOS OLEOSOS 250ML,7.00,7.00,"R$ 24,80","R$ 12,40",100.00 %,,0,0,
106,HINO'S PLUS CONDICIONADOR CABELOS OLEOSOS 250ML,8.00,8.00,"R$ 26,20","R$ 13,10",100.00 %,,0,0,
108,HINO,7.00,7.00,"R$ 23,80","R$ 11,90",100.00 %,,0,0,
111,iLEG ÓLEO EM GEL LÍQUIDO PARA MASSAGEM 100g,21.81,21.81,"R$ 79,00","R$ 35,55",122.22 %,1,"R$ 79,00","R$ 35,55",
112,HINO´S MASCARA CAPILAR SEM ENXAGUE 150GR,4.20,4.20,"R$ 23,30","R$ 6,99",233.33 %,,0,0,
150,BLOG.IN BODY SPLASH ILUMINADOR 150ML,5.45,5.45,"R$ 35,90","R$ 8,90",303.37 %,,0,0,
164,BLOG.IN DESODORANTE COLONIA 50 ML,8.95,8.95,"R$ 59,90","R$ 14,90",302.01 %,,0,0,
200,HINO'S FACE CREME DE LIMPEZA 50G,9.00,9.00,"R$ 31,90","R$ 15,95",100.00 %,,0,0,
201,HINO´S FACE CREME HIDRATANTE E BASE 50G,9.00,9.00,"R$ 31,90","R$ 15,95",100.00 %,,0,0,
204,HINO'S FACE COLAGENO 25grs,11.00,11.00,"R$ 35,60","R$ 17,80",100.00 %,,0,0,
207,HINO'S FACE GEL ABRASIVO 25grs,9.00,9.00,"R$ 31,00","R$ 15,50",100.00 %,,0,0,
208,HINO'S FACE GEL NUTRITIVO 50grs,10.00,10.00,"R$ 33,60","R$ 16,80",100.00 %,,0,0,
